Date	Price
2/18/14	"1,320.80"
6/30/16	"1,320.80"
7/22/16	"1,320.80"
3/9/18	"1,320.60"
11/4/13	"1,320.50"
2/19/14	"1,320.50"
4/10/14	"1,320.50"
9/1/17	"1,320.40"
3/5/18	"1,320.40"
2/14/14	"1,320.00"
1/8/18	"1,320.00"
1/10/18	"1,319.80"
10/17/13	"1,319.30"
7/4/14	"1,319.30"
11/6/13	"1,319.00"
8/26/16	"1,318.80"
8/29/16	"1,318.80"
8/29/17	"1,318.70"
9/13/13	"1,318.50"
6/24/14	"1,318.50"
8/30/16	"1,318.20"
9/29/16	"1,318.10"
4/11/14	"1,318.00"
2/28/18	"1,317.90"
10/21/13	"1,317.50"
6/27/14	"1,317.50"
7/3/14	"1,317.50"
1/5/18	"1,317.20"
6/25/14	"1,316.80"
10/18/13	"1,316.50"
2/20/14	"1,316.30"
10/3/13	"1,316.00"
7/20/16	"1,315.90"
8/12/14	"1,315.80"
6/24/16	"1,315.50"
2/8/18	"1,315.50"
8/1/13	"1,315.00"
6/30/14	"1,315.00"
9/19/16	"1,314.90"
1/3/18	"1,314.90"
7/31/13	"1,314.50"
1/4/18	"1,314.50"
9/24/13	"1,314.30"
2/9/18	"1,314.10"
9/20/16	"1,313.80"
3/25/14	"1,313.50"
6/23/14	"1,313.50"
8/14/14	"1,313.50"
10/3/16	"1,313.30"
7/25/16	"1,313.20"
7/7/14	"1,313.00"
6/20/14	"1,312.50"
9/17/13	"1,312.30"
9/18/17	"1,312.10"
1/2/18	"1,312.10"
8/13/14	"1,312.00"
6/26/14	"1,311.80"
8/31/17	"1,311.80"
7/21/14	"1,311.50"
9/20/17	"1,311.30"
1/9/18	"1,311.00"
3/24/14	"1,310.80"
6/16/16	"1,310.80"
9/15/16	"1,310.80"
7/22/14	"1,310.30"
7/15/14	"1,310.00"
10/4/13	"1,309.80"
8/8/14	"1,309.80"
6/28/16	"1,309.70"
9/19/17	"1,309.60"
4/8/14	"1,309.50"
9/1/16	"1,309.50"
8/2/13	"1,309.30"
8/31/16	"1,309.30"
8/9/13	"1,309.00"
8/30/17	"1,308.50"
9/16/16	"1,308.40"
7/23/14	"1,308.00"
3/1/18	"1,307.80"
11/5/13	"1,307.30"
11/7/13	"1,307.30"
7/18/14	"1,307.30"
8/11/14	"1,307.30"
11/1/13	"1,306.80"
8/6/14	"1,306.50"
10/2/13	"1,306.30"
5/6/14	"1,306.30"
7/14/14	"1,306.00"
5/14/14	"1,305.30"
8/7/14	"1,305.30"
8/5/13	"1,304.80"
7/28/14	"1,304.50"
10/9/13	"1,304.00"
3/26/14	"1,304.00"
11/2/16	"1,303.80"
10/16/17	"1,303.30"
11/4/16	"1,302.80"
7/17/14	"1,302.50"
5/19/14	"1,302.00"
4/9/14	"1,301.80"
4/16/14	"1,301.50"
4/25/14	"1,301.30"
9/18/13	"1,301.00"
7/16/14	"1,301.00"
11/3/16	"1,301.00"
9/26/17	"1,300.10"
10/13/17	"1,299.60"
7/29/14	"1,299.30"
4/7/14	"1,299.00"
4/17/14	"1,299.00"
4/18/14	"1,299.00"
4/21/14	"1,299.00"
4/28/14	"1,299.00"
5/15/14	"1,299.00"
5/12/14	"1,298.80"
10/10/13	"1,298.50"
5/22/14	"1,298.50"
8/8/13	"1,298.30"
4/15/14	"1,298.00"
4/29/14	"1,297.80"
7/17/13	"1,297.30"
4/4/14	"1,297.30"
8/18/14	"1,296.80"
5/13/14	"1,296.50"
8/19/14	"1,296.50"
2/13/14	"1,296.00"
3/27/14	"1,296.00"
5/7/14	"1,296.00"
8/15/14	"1,296.00"
7/19/13	"1,295.80"
1/22/15	"1,295.80"
8/18/17	"1,295.80"
5/20/14	"1,295.50"
6/21/13	"1,295.30"
8/20/14	"1,295.00"
11/27/17	"1,294.90"
3/28/14	"1,294.80"
7/25/14	"1,294.80"
1/23/15	"1,294.80"
9/22/17	"1,294.80"
7/30/14	"1,294.50"
5/3/16	"1,294.00"
1/21/15	"1,293.50"
6/6/17	"1,293.50"
9/25/17	"1,293.30"
6/19/14	"1,293.00"
8/21/17	"1,292.90"
7/24/14	"1,292.80"
6/20/13	"1,292.50"
9/21/17	"1,292.10"
4/2/14	"1,292.00"
8/28/14	"1,292.00"
11/28/17	"1,291.90"
3/31/14	"1,291.80"
7/16/13	"1,291.50"
4/24/14	"1,291.50"
5/16/14	"1,291.50"
5/23/14	"1,291.50"
5/26/14	"1,291.50"
10/10/17	"1,291.40"
5/9/14	"1,291.30"
8/1/14	"1,291.30"
6/7/17	"1,291.00"
12/28/17	"1,291.00"
12/29/17	"1,291.00"
1/1/18	"1,291.00"
10/1/13	"1,290.80"
6/17/16	"1,290.70"
8/4/14	"1,290.50"
11/24/17	"1,290.50"
11/23/17	"1,290.40"
10/12/17	"1,290.30"
2/12/14	"1,289.50"
10/11/17	"1,289.30"
5/6/16	"1,289.00"
8/24/17	"1,289.00"
1/20/15	"1,288.80"
4/30/14	"1,288.50"
1/27/15	"1,288.50"
11/1/16	"1,288.50"
1/28/15	"1,288.00"
11/15/13	"1,287.30"
5/21/14	"1,287.30"
6/14/16	"1,287.20"
5/8/14	"1,287.00"
11/22/17	"1,287.00"
6/24/13	"1,286.80"
4/22/14	"1,286.80"
8/23/17	"1,286.70"
9/1/14	"1,286.50"
10/19/17	"1,286.40"
11/20/17	"1,286.20"
8/11/17	"1,286.10"
11/14/13	"1,286.00"
8/26/14	"1,286.00"
8/29/14	"1,285.80"
5/16/16	"1,285.80"
4/29/16	"1,285.70"
5/2/16	"1,285.70"
10/14/13	"1,285.50"
11/8/13	"1,285.50"
4/23/14	"1,285.30"
7/31/14	"1,285.30"
8/25/17	"1,285.30"
8/28/17	"1,285.30"
8/17/17	"1,285.20"
7/11/13	"1,285.00"
7/15/13	"1,284.80"
8/5/14	"1,284.80"
10/17/17	"1,284.80"
11/9/17	"1,284.80"
8/10/17	"1,284.40"
11/17/17	"1,284.40"
11/10/17	"1,284.30"
4/13/17	"1,284.20"
4/14/17	"1,284.20"
4/17/17	"1,284.20"
8/22/17	"1,284.20"
4/3/14	"1,284.00"
11/8/17	"1,284.00"
11/29/17	"1,283.90"
4/1/14	"1,283.80"
11/18/13	"1,283.50"
9/28/17	"1,283.40"
7/18/13	"1,283.30"
6/15/16	"1,283.30"
10/4/16	"1,283.30"
11/21/17	"1,283.30"
11/7/16	"1,283.10"
9/29/17	"1,283.10"
5/4/16	"1,283.00"
8/27/14	"1,282.80"
9/27/17	"1,282.60"
8/7/13	"1,282.50"
11/11/13	"1,282.50"
11/8/16	"1,282.40"
8/14/17	"1,282.30"
11/15/17	"1,282.20"
4/20/17	"1,282.10"
2/11/14	"1,282.00"
4/21/17	"1,281.90"
6/20/16	"1,281.80"
11/9/16	"1,281.40"
11/12/13	"1,281.30"
5/2/14	"1,281.30"
5/5/14	"1,281.30"
1/26/15	"1,281.30"
10/20/17	"1,281.20"
6/13/16	"1,280.80"
8/6/13	"1,280.50"
5/5/16	"1,280.30"
10/18/17	"1,280.20"
11/30/17	"1,280.20"
6/5/17	"1,280.00"
11/16/17	"1,280.00"
7/12/13	"1,279.80"
12/27/17	"1,279.40"
5/12/16	"1,279.30"
11/2/17	"1,279.20"
4/19/17	"1,279.10"
6/25/13	"1,279.00"
4/18/17	"1,279.00"
10/9/17	"1,278.80"
5/1/14	"1,278.50"
11/13/17	"1,278.00"
1/16/15	"1,277.50"
3/4/16	"1,277.50"
8/22/14	"1,277.30"
8/25/14	"1,277.30"
11/1/17	"1,277.10"
2/10/14	"1,277.00"
5/17/16	"1,277.00"
5/11/16	"1,276.90"
10/24/17	"1,276.50"
6/16/14	"1,276.30"
11/19/13	"1,275.80"
11/7/17	"1,275.60"
5/27/14	"1,275.50"
6/10/16	"1,275.50"
6/14/17	"1,275.50"
12/1/17	"1,275.50"
8/21/14	"1,275.30"
6/2/17	"1,275.00"
10/25/17	"1,275.00"
10/23/17	"1,274.90"
11/14/17	"1,274.60"
10/5/17	"1,274.50"
4/12/17	"1,274.30"
10/4/17	"1,274.30"
1/19/15	"1,273.80"
10/26/17	"1,273.80"
10/2/17	"1,273.70"
10/16/13	"1,273.50"
12/4/17	"1,273.50"
6/8/17	"1,273.10"
6/13/14	"1,273.00"
10/28/16	"1,273.00"
5/18/16	"1,272.90"
8/16/17	"1,272.80"
6/21/16	"1,272.60"
11/13/13	"1,272.50"
2/2/15	"1,272.50"
10/31/16	"1,272.00"
10/30/17	"1,272.00"
10/20/16	"1,271.70"
9/4/14	"1,271.50"
10/3/17	"1,271.30"
8/9/17	"1,271.10"
8/1/17	"1,271.00"
11/6/17	"1,270.90"
10/15/13	"1,270.50"
10/26/16	"1,270.50"
8/15/17	"1,270.30"
10/31/17	"1,270.20"
6/18/14	"1,269.80"
8/2/17	"1,269.60"
10/5/16	"1,269.40"
10/25/16	"1,269.40"
4/24/17	"1,269.40"
10/19/16	"1,269.10"
1/29/15	"1,268.80"
2/4/15	"1,268.50"
8/3/17	"1,268.10"
3/7/16	"1,267.90"
4/25/17	"1,267.80"
7/31/17	"1,267.60"
6/17/14	"1,267.50"
11/10/16	"1,267.50"
11/3/17	"1,267.20"
1/24/14	"1,267.00"
9/2/14	"1,267.00"
3/8/16	"1,267.00"
6/9/17	"1,266.60"
3/10/16	"1,266.50"
3/17/16	"1,266.50"
4/7/17	"1,266.50"
4/28/17	"1,266.50"
5/1/17	"1,266.50"
10/27/17	"1,266.50"
6/12/17	"1,266.40"
12/10/13	"1,266.30"
10/27/16	"1,266.30"
12/5/17	"1,266.30"
5/31/17	"1,266.20"
10/21/16	"1,266.10"
9/5/14	"1,266.00"
5/13/16	"1,265.90"
6/12/14	"1,265.80"
10/24/16	"1,265.60"
10/11/13	"1,265.50"
9/3/14	"1,265.50"
5/9/16	"1,265.30"
5/26/17	"1,265.10"
5/29/17	"1,265.10"
6/22/16	"1,264.90"
6/1/17	"1,264.90"
7/28/17	"1,264.90"
3/11/16	"1,264.80"
12/20/17	"1,264.60"
12/21/17	"1,264.60"
12/22/17	"1,264.60"
12/25/17	"1,264.60"
12/26/17	"1,264.60"
2/3/15	"1,264.30"
1/29/14	"1,264.00"
6/9/16	"1,263.90"
12/6/17	"1,263.70"
5/28/14	"1,263.50"
1/23/14	"1,263.00"
6/8/16	"1,263.00"
5/10/16	"1,262.80"
4/27/17	"1,262.80"
5/30/17	"1,262.70"
6/23/16	"1,262.20"
2/3/14	"1,262.00"
6/11/14	"1,262.00"
6/13/17	"1,262.00"
4/26/17	"1,261.90"
8/8/17	"1,261.80"
10/6/17	"1,261.80"
10/13/16	"1,261.10"
7/27/17	"1,261.10"
12/11/13	"1,260.80"
12/18/17	"1,260.60"
1/27/14	"1,260.50"
12/19/17	"1,260.40"
1/30/15	"1,260.30"
5/23/17	"1,260.20"
6/10/14	"1,259.50"
10/10/16	"1,259.50"
2/7/14	"1,259.30"
2/5/15	"1,259.30"
9/8/14	"1,259.00"
1/15/15	"1,259.00"
5/22/17	"1,258.90"
10/7/16	"1,258.80"
10/18/16	"1,258.20"
8/7/17	"1,258.00"
4/4/17	"1,257.70"
8/4/17	"1,257.70"
3/27/17	"1,257.60"
5/17/17	"1,257.40"
3/28/17	"1,257.30"
2/27/17	"1,257.20"
11/20/13	"1,257.00"
5/25/17	"1,257.00"
2/6/14	"1,256.50"
10/12/16	"1,256.50"
7/10/13	"1,256.00"
4/28/16	"1,256.00"
5/18/17	"1,255.90"
1/20/14	"1,255.80"
9/9/14	"1,255.80"
6/23/17	"1,255.70"
2/28/17	"1,255.60"
7/24/17	"1,255.60"
7/9/13	"1,255.50"
5/2/17	"1,255.50"
4/19/16	"1,255.40"
6/16/17	"1,255.40"
5/29/14	"1,255.00"
12/7/17	"1,255.00"
4/11/16	"1,254.80"
10/17/16	"1,254.80"
4/12/16	"1,254.60"
6/15/17	"1,254.60"
12/15/17	"1,254.60"
2/5/14	"1,254.50"
10/6/16	"1,254.50"
7/25/17	"1,254.40"
5/20/16	"1,254.20"
2/24/17	"1,253.70"
6/9/14	"1,253.50"
10/11/16	"1,253.50"
11/29/13	"1,253.00"
4/11/17	"1,252.90"
5/24/17	"1,252.60"
7/2/13	"1,252.50"
6/5/14	"1,252.50"
3/22/16	"1,252.50"
4/6/17	"1,252.50"
3/18/16	"1,252.10"
4/20/16	"1,252.00"
5/19/17	"1,252.00"
7/4/13	"1,251.80"
10/14/16	"1,251.80"
1/14/14	"1,251.50"
1/28/14	"1,251.30"
3/29/17	"1,251.10"
1/31/14	"1,251.00"
9/10/14	"1,251.00"
12/14/17	"1,251.00"
2/24/16	"1,250.80"
6/22/17	"1,250.80"
12/8/17	"1,250.70"
5/30/14	"1,250.50"
2/4/14	"1,250.30"
10/21/14	"1,250.30"
3/3/16	"1,250.30"
5/3/17	"1,250.30"
4/10/17	"1,250.10"
7/3/13	"1,250.00"
1/17/14	"1,250.00"
6/27/17	"1,249.60"
4/21/16	"1,249.30"
3/22/17	"1,249.10"
3/30/17	"1,248.80"
7/21/17	"1,248.60"
6/19/17	"1,248.20"
7/26/17	"1,248.10"
